August Northern Hemisphere Sea Ice Extent (1979-2020)
Units: million square km
1981-2010 Mean: 7.20
Date,Value,Anomaly
1979,8.04,0.84
1980,7.98,0.78
1981,7.84,0.64
1982,8.14,0.94
1983,8.19,0.99
1984,7.77,0.57
1985,7.40,0.20
1986,7.98,0.78
1987,7.63,0.43
1988,7.89,0.69
1989,7.88,0.68
1990,6.80,-0.40
1991,7.42,0.22
1992,7.93,0.73
1993,7.33,0.13
1994,7.64,0.44
1995,6.74,-0.46
1996,8.18,0.98
1997,7.29,0.09
1998,7.51,0.31
1999,7.23,0.03
2000,7.17,-0.03
2001,7.46,0.26
2002,6.60,-0.60
2003,6.94,-0.26
2004,6.85,-0.35
2005,6.30,-0.90
2006,6.50,-0.70
2007,5.34,-1.86
2008,5.91,-1.29
2009,6.14,-1.06
2010,5.87,-1.33
2011,5.50,-1.70
2012,4.72,-2.48
2013,6.01,-1.19
2014,6.08,-1.12
2015,5.60,-1.60
2016,5.37,-1.83
2017,5.48,-1.72
2018,5.61,-1.59
2019,5.03,-2.17
2020,5.08,-2.12
