February Northern Hemisphere Sea Ice Extent (1979-2020)
Units: million square km
1981-2010 Mean: 15.30
Date,Value,Anomaly
1979,16.18,0.88
1980,15.96,0.66
1981,15.60,0.30
1982,15.97,0.67
1983,16.01,0.71
1984,15.30,0.00
1985,15.47,0.17
1986,15.78,0.48
1987,16.05,0.75
1988,15.58,0.28
1989,15.50,0.20
1990,15.58,0.28
1991,15.25,-0.05
1992,15.46,0.16
1993,15.69,0.39
1994,15.56,0.26
1995,15.23,-0.07
1996,15.15,-0.15
1997,15.44,0.14
1998,15.75,0.45
1999,15.31,0.01
2000,15.14,-0.16
2001,15.21,-0.09
2002,15.34,0.04
2003,15.19,-0.11
2004,14.91,-0.39
2005,14.37,-0.93
2006,14.32,-0.98
2007,14.51,-0.79
2008,14.95,-0.35
2009,14.81,-0.49
2010,14.58,-0.72
2011,14.36,-0.94
2012,14.55,-0.75
2013,14.72,-0.58
2014,14.42,-0.88
2015,14.40,-0.90
2016,14.20,-1.10
2017,14.12,-1.18
2018,13.97,-1.33
2019,14.40,-0.90
2020,14.68,-0.62
