August Southern Hemisphere Sea Ice Extent (1979-2020)
Units: million square km
1981-2010 Mean: 17.72
Date,Value,Anomaly
1979,17.70,-0.02
1980,17.81,0.09
1981,17.74,0.02
1982,17.79,0.07
1983,17.25,-0.47
1984,17.93,0.21
1985,17.63,-0.09
1986,17.00,-0.72
1987,17.60,-0.12
1988,17.56,-0.16
1989,17.47,-0.25
1990,17.57,-0.15
1991,17.72,0.00
1992,17.73,0.01
1993,17.49,-0.23
1994,17.84,0.12
1995,17.78,0.06
1996,17.74,0.02
1997,17.68,-0.04
1998,17.88,0.16
1999,17.96,0.24
2000,18.21,0.49
2001,17.42,-0.30
2002,17.07,-0.65
2003,17.58,-0.14
2004,18.01,0.29
2005,17.92,0.20
2006,18.10,0.38
2007,17.68,-0.04
2008,17.64,-0.08
2009,18.10,0.38
2010,18.61,0.89
2011,17.81,0.09
2012,18.10,0.38
2013,18.66,0.94
2014,18.91,1.19
2015,17.75,0.03
2016,17.89,0.17
2017,17.22,-0.50
2018,17.42,-0.30
2019,17.48,-0.24
2020,17.70,-0.02
