February Southern Hemisphere Sea Ice Extent (1979-2020)
Units: million square km
1981-2010 Mean: 3.07
Date,Value,Anomaly
1979,3.14,0.07
1980,2.82,-0.25
1981,2.87,-0.20
1982,3.13,0.06
1983,3.07,0.00
1984,2.68,-0.39
1985,2.84,-0.23
1986,3.19,0.12
1987,3.25,0.18
1988,2.89,-0.18
1989,2.98,-0.09
1990,3.04,-0.03
1991,3.16,0.09
1992,2.84,-0.23
1993,2.48,-0.59
1994,3.20,0.13
1995,3.56,0.49
1996,2.98,-0.09
1997,2.49,-0.58
1998,2.99,-0.08
1999,2.97,-0.10
2000,2.91,-0.16
2001,3.65,0.58
2002,2.96,-0.11
2003,3.79,0.72
2004,3.58,0.51
2005,2.97,-0.10
2006,2.65,-0.42
2007,2.90,-0.17
2008,3.89,0.82
2009,2.99,-0.08
2010,3.11,0.04
2011,2.52,-0.55
2012,3.55,0.48
2013,3.84,0.77
2014,3.84,0.77
2015,3.80,0.73
2016,2.79,-0.28
2017,2.29,-0.78
2018,2.33,-0.74
2019,2.66,-0.41
2020,2.87,-0.20
